student_id,roll_number,registration_number,university_id,college_id,department_id,program_name,specialization,gender,date_of_birth,age,category,minority_status,domicile_state,nationality,family_income_range,parent_education_level,parent_occupation,first_generation_learner,scholarship_status,financial_aid_type,10th_percentage,10th_board,12th_percentage,12th_board,12th_stream,entrance_exam_score,entrance_exam_rank,admission_type,gap_years,academic_year,semester,course_code,course_name,course_type,credit_score,course_difficulty_index,faculty_id,total_lectures,lectures_attended,attendance_percentage,attendance_status,lms_login_frequency,avg_session_duration_minutes,assignment_submission_rate,late_submission_count,forum_participation_count,quiz_attempt_rate,assignment_marks_avg,quiz_marks_avg,midterm_marks,internal_assessment_total,internal_rank,improvement_trend,end_sem_marks,practical_marks,theory_marks,total_marks,percentage,grade,grade_point,sgpa,cgpa,pass_fail_status,backlog_count,study_hours_per_day,sleep_hours_avg,mobile_usage_hours,hostel_resident,commute_time_minutes,part_time_job,extracurricular_participation_level,stress_level,motivation_level,time_management_score,learning_style,career_clarity_score,self_efficacy_score,faculty_experience_years,faculty_rating_avg,student_teacher_ratio,class_size,teaching_method,course_feedback_score,library_usage_frequency,lab_access_hours,mentorship_sessions_attended,remedial_classes_attended,placement_training_participation,student_id_2,roll_number_2,department,program,academic_year_2,course_code_2,attendance_percentage_2,internal_marks,external_marks,sgpa_2,gender_2,age_2,study_hours
37,ROLL0037,REG20260037,UNI001,COL001,MCA,MCA,Cyber Security,Male,2001-07-24,25,SC,No,UP,Indian,5-10L,10th,Self-employed,No,No,None,77.77,State Board,71.46,State Board,Science,117,2836,Entrance,2,2025-26,3,CS173,OS,Elective,2,3.28,FAC007,58,38,67.33,Shortage,26,20,78.5,5,17,78.61,63.73,59.52,19,32,24,Stable,59,29,55,91,91.0,A,9.69,8.33,6.1,Fail,0,5.6,7.5,4.3,Yes,31,Yes,High,High,Low,9,Auditory,7,4,21,4.26,30,83,Hybrid,3.87,9,10,10,1,Yes,37,ROLL0037,BCA,B.Tech,2025-26,CS278,87.36,32,59,8.33,Female,25,4.3
38,ROLL0038,REG20260038,UNI001,COL001,IT,BCA,AI,Male,2003-01-02,23,General,No,Punjab,Indian,5-10L,Graduate,Service,Yes,Yes,None,80.77,State Board,63.55,CBSE,Arts,183,2285,Merit,2,2025-26,1,CS366,DBMS,Elective,5,1.17,FAC012,55,38,82.7,Shortage,5,55,91.52,0,0,78.71,82.19,65.42,30,35,86,Downward,52,39,53,87,87.0,C,7.27,7.74,9.68,Fail,3,2.0,6.1,5.7,No,38,Yes,High,Low,High,10,Kinesthetic,9,1,19,4.99,20,93,Online,4.56,10,8,5,1,No,38,ROLL0038,CSE,MCA,2025-26,CS495,88.92,35,52,7.74,Male,23,5.2
39,ROLL0039,REG20260039,UNI001,COL001,ECE,BCA,Software Engg,Male,2002-05-25,24,OBC,No,Haryana,Indian,10L+,12th,Service,Yes,Yes,Private,67.84,ICSE,92.52,ICSE,Commerce,102,2004,Management,2,2025-26,6,CS498,DBMS,Core,3,3.55,FAC011,58,39,62.68,Shortage,15,59,98.92,0,11,93.95,78.34,54.19,28,32,52,Stable,57,28,43,89,89.0,B,9.1,8.92,9.14,Fail,3,6.4,7.3,5.5,Yes,39,No,Low,High,Medium,2,Visual,3,6,6,3.5,22,70,Online,4.92,7,20,7,5,No,39,ROLL0039,BCA,B.Tech,2025-26,CS353,86.62,32,57,8.92,Male,24,7.9
40,ROLL0040,REG20260040,UNI001,COL001,CSE,B.Tech,DS,Male,2002-07-06,24,General,Yes,Haryana,Indian,0-2L,Graduate,Service,No,No,Private,88.34,State Board,68.4,ICSE,Arts,135,899,Entrance,2,2025-26,2,CS182,Data Structures,Core,3,4.66,FAC010,60,46,96.17,Shortage,29,80,91.54,2,18,85.56,58.2,54.33,28,22,22,Downward,40,27,45,62,62.0,B,8.4,9.01,7.37,Pass,2,4.2,5.8,5.8,No,53,No,Medium,Low,Low,7,Auditory,9,1,7,4.57,35,64,Hybrid,4.42,2,10,10,2,No,40,ROLL0040,ECE,MCA,2025-26,CS359,80.8,22,40,9.01,Male,24,5.5
41,ROLL0041,REG20260041,UNI001,COL001,IT,BCA,AI,Male,2000-12-03,26,General,Yes,Haryana,Indian,0-2L,10th,Farmer,No,Yes,Private,96.6,CBSE,94.41,ICSE,Commerce,189,857,Management,0,2025-26,5,CS415,Data Structures,Elective,4,3.46,FAC011,51,44,96.06,Regular,7,74,98.1,4,15,78.55,92.69,76.36,18,24,60,Upward,40,25,59,64,64.0,D,8.25,7.51,7.13,Fail,0,5.0,6.5,4.4,Yes,45,Yes,Low,Medium,Low,2,Visual,2,2,14,3.18,40,108,Hybrid,3.89,5,18,0,0,No,41,ROLL0041,BCA,B.Tech,2025-26,CS183,63.54,24,40,7.51,Male,26,2.2
42,ROLL0042,REG20260042,UNI001,COL001,CSE,MCA,Cyber Security,Female,2002-10-03,24,General,Yes,Delhi,Indian,5-10L,12th,Farmer,Yes,No,None,77.52,State Board,71.28,ICSE,Science,83,4839,Entrance,0,2025-26,5,CS488,ML,Elective,2,3.66,FAC003,46,31,74.59,Shortage,19,40,70.85,0,14,83.75,67.99,53.19,26,28,61,Downward,41,35,60,69,69.0,B,7.95,6.64,6.6,Fail,1,4.9,6.5,5.7,Yes,36,Yes,Low,Low,High,8,Auditory,6,10,5,3.97,60,96,Hybrid,4.62,3,20,3,4,No,42,ROLL0042,BCA,MCA,2025-26,CS162,84.76,28,41,6.64,Female,24,2.2
43,ROLL0043,REG20260043,UNI001,COL001,ECE,MCA,Cloud,Male,2000-05-06,26,SC,No,UP,Indian,2-5L,12th,Self-employed,No,Yes,Government,86.35,CBSE,97.74,CBSE,Arts,135,3423,Entrance,0,2025-26,1,CS170,OS,Core,2,3.25,FAC019,41,52,96.55,Regular,12,93,87.94,5,10,84.13,89.39,52.98,24,37,91,Upward,55,33,55,92,92.0,A,9.77,6.92,7.56,Fail,1,4.2,6.9,2.1,Yes,51,No,Medium,Medium,High,10,Auditory,10,1,12,3.51,58,105,Online,3.23,4,20,1,1,Yes,43,ROLL0043,CSE,B.Tech,2025-26,CS121,96.36,37,55,6.92,Female,26,3.4
44,ROLL0044,REG20260044,UNI001,COL001,CSE,B.Tech,Software Engg,Male,2004-07-05,22,ST,No,UP,Indian,5-10L,Graduate,Service,Yes,Yes,None,69.55,State Board,79.87,State Board,Commerce,99,1263,Entrance,1,2025-26,3,CS294,OS,Elective,5,2.12,FAC004,40,45,84.57,Regular,28,49,89.76,0,18,98.03,87.39,54.59,16,38,51,Stable,59,34,57,97,97.0,A,9.24,7.59,7.96,Fail,0,7.8,7.0,4.3,Yes,33,No,High,Medium,Medium,1,Visual,4,6,8,4.49,37,46,Online,4.15,10,15,0,5,Yes,44,ROLL0044,MCA,MCA,2025-26,CS495,60.65,38,59,7.59,Male,22,6.6
45,ROLL0045,REG20260045,UNI001,COL001,BCA,BCA,DS,Male,2004-10-04,22,ST,No,Delhi,Indian,5-10L,Graduate,Self-employed,Yes,Yes,None,77.3,ICSE,66.95,CBSE,Arts,154,1163,Management,0,2025-26,1,CS294,Data Structures,Elective,2,2.73,FAC013,59,41,70.17,Shortage,28,31,79.48,2,4,63.82,70.91,86.71,22,32,44,Stable,49,33,43,81,81.0,C,8.86,6.77,7.68,Fail,1,7.1,7.9,3.6,Yes,37,Yes,Medium,Low,High,2,Visual,6,1,23,3.46,25,59,Online,3.11,3,14,9,5,No,45,ROLL0045,CSE,BCA,2025-26,CS180,91.09,32,49,6.77,Female,22,3.2
46,ROLL0046,REG20260046,UNI001,COL001,MCA,BCA,Software Engg,Female,2004-10-23,22,OBC,No,Haryana,Indian,0-2L,10th,Self-employed,No,No,Government,94.14,CBSE,81.71,CBSE,Arts,80,4728,Entrance,2,2025-26,4,CS157,Python,Core,4,4.5,FAC002,53,41,88.23,Regular,20,117,93.24,0,10,83.48,87.16,92.17,25,24,29,Downward,46,33,50,70,70.0,D,6.22,7.73,8.08,Pass,0,5.7,6.0,4.2,Yes,23,No,Low,High,High,8,Auditory,2,9,17,4.14,40,33,Hybrid,4.09,5,11,0,0,Yes,46,ROLL0046,BCA,MCA,2025-26,CS418,99.55,24,46,7.73,Male,22,2.1
47,ROLL0047,REG20260047,UNI001,COL001,ECE,MCA,Software Engg,Male,2005-02-19,21,ST,Yes,UP,Indian,2-5L,Postgraduate,Business,No,No,None,95.22,State Board,77.53,CBSE,Commerce,151,1057,Merit,0,2025-26,1,CS328,Python,Core,5,1.98,FAC008,54,40,82.21,Shortage,17,25,90.63,5,5,81.2,60.64,72.67,22,22,93,Stable,53,22,44,75,75.0,D,8.6,7.19,7.01,Fail,0,6.9,6.0,3.8,Yes,35,No,Low,Medium,Medium,10,Auditory,3,5,8,3.12,47,93,Traditional,4.75,2,16,7,0,Yes,47,ROLL0047,ECE,BCA,2025-26,CS180,78.61,22,53,7.19,Female,21,2.9
48,ROLL0048,REG20260048,UNI001,COL001,IT,MCA,AI,Female,2000-11-15,26,SC,Yes,UP,Indian,0-2L,12th,Business,Yes,No,Private,76.82,ICSE,97.16,CBSE,Science,77,2402,Merit,2,2025-26,6,CS313,DBMS,Elective,4,1.52,FAC010,58,48,62.57,Shortage,15,100,79.01,5,16,64.2,55.19,51.55,20,26,90,Downward,60,21,52,86,86.0,B,6.32,8.66,9.63,Fail,0,6.7,5.3,4.4,Yes,17,Yes,Medium,Low,Low,8,Kinesthetic,5,1,11,4.51,24,68,Online,3.72,2,11,9,0,No,48,ROLL0048,CSE,B.Tech,2025-26,CS438,72.81,26,60,8.66,Male,26,7.1
49,ROLL0049,REG20260049,UNI001,COL001,CSE,BCA,Cloud,Male,2005-05-24,21,OBC,Yes,UP,Indian,0-2L,12th,Service,No,Yes,None,64.25,CBSE,91.96,ICSE,Arts,50,1012,Management,0,2025-26,3,CS449,ML,Elective,5,3.44,FAC002,55,32,89.84,Shortage,7,90,94.58,2,13,66.7,69.04,74.88,16,36,32,Upward,55,23,40,91,91.0,C,6.04,9.72,9.57,Pass,2,2.4,8.0,5.8,No,11,No,High,High,Low,2,Auditory,3,2,21,4.9,44,82,Traditional,4.55,9,16,4,2,Yes,49,ROLL0049,IT,B.Tech,2025-26,CS106,61.62,36,55,9.72,Male,21,7.7
50,ROLL0050,REG20260050,UNI001,COL001,CSE,B.Tech,Cloud,Female,2002-11-12,24,ST,Yes,Punjab,Indian,2-5L,Postgraduate,Farmer,Yes,Yes,Government,69.06,State Board,68.93,ICSE,Arts,150,3727,Entrance,1,2025-26,1,CS184,ML,Core,2,4.73,FAC008,45,33,83.63,Regular,22,73,81.44,2,1,90.71,51.98,85.28,26,32,56,Downward,51,24,58,83,83.0,C,8.41,8.21,6.87,Pass,3,7.2,5.9,3.0,No,24,No,High,Low,Low,1,Auditory,6,8,12,4.74,30,68,Traditional,4.31,7,16,9,1,Yes,50,ROLL0050,BCA,BCA,2025-26,CS499,87.39,32,51,8.21,Female,24,6.8
51,ROLL0051,REG20260051,UNI001,COL001,MCA,MCA,Software Engg,Male,2003-09-09,23,SC,Yes,Punjab,Indian,10L+,10th,Self-employed,No,Yes,Private,75.01,CBSE,96.09,ICSE,Commerce,156,2695,Management,2,2025-26,6,CS498,Python,Elective,4,1.51,FAC004,42,33,92.78,Shortage,27,49,93.96,4,10,78.55,71.23,76.89,28,21,47,Upward,53,29,49,74,74.0,C,7.81,6.52,8.0,Fail,0,6.4,7.3,4.1,No,14,Yes,High,Low,Medium,10,Auditory,10,2,22,3.73,21,62,Online,3.85,8,5,3,1,No,51,ROLL0051,MCA,B.Tech,2025-26,CS271,78.54,21,53,6.52,Male,23,5.6
52,ROLL0052,REG20260052,UNI001,COL001,ECE,B.Tech,Software Engg,Female,2002-07-20,24,OBC,No,UP,Indian,2-5L,10th,Self-employed,No,Yes,Private,69.82,ICSE,88.43,ICSE,Arts,146,561,Management,2,2025-26,2,CS397,OS,Core,3,4.89,FAC009,41,30,69.73,Shortage,18,39,84.52,2,6,75.95,70.63,64.71,24,30,40,Downward,53,25,43,83,83.0,A,9.29,6.92,7.43,Fail,1,2.6,5.9,4.9,No,39,No,Low,High,High,8,Kinesthetic,4,4,7,4.16,54,36,Hybrid,3.43,2,17,8,5,Yes,52,ROLL0052,IT,B.Tech,2025-26,CS329,98.92,30,53,6.92,Male,24,7.5
53,ROLL0053,REG20260053,UNI001,COL001,ECE,BCA,Software Engg,Female,2003-06-12,23,ST,No,Delhi,Indian,5-10L,Postgraduate,Self-employed,No,Yes,Government,86.18,CBSE,60.12,ICSE,Science,112,2110,Management,2,2025-26,2,CS158,ML,Core,5,3.44,FAC017,58,57,77.11,Shortage,17,88,99.62,0,6,94.5,60.32,52.04,22,33,67,Downward,40,32,45,73,73.0,C,6.6,8.59,9.32,Pass,3,2.9,5.9,5.7,No,9,No,High,Medium,Medium,5,Visual,9,10,17,3.19,33,41,Online,3.78,10,15,3,4,No,53,ROLL0053,CSE,B.Tech,2025-26,CS296,95.85,33,40,8.59,Female,23,5.6
54,ROLL0054,REG20260054,UNI001,COL001,IT,B.Tech,Software Engg,Male,2002-07-01,24,ST,No,Haryana,Indian,10L+,Graduate,Self-employed,No,Yes,Government,88.13,ICSE,86.29,ICSE,Arts,152,2090,Entrance,1,2025-26,3,CS245,ML,Elective,5,4.03,FAC001,42,49,84.71,Regular,29,59,91.98,3,17,98.49,71.8,50.4,29,36,36,Stable,43,37,41,79,79.0,C,8.56,7.86,7.7,Pass,2,7.8,7.2,4.2,No,24,No,High,High,Medium,5,Kinesthetic,5,6,24,4.94,47,38,Hybrid,3.06,7,16,2,1,No,54,ROLL0054,IT,B.Tech,2025-26,CS154,72.67,36,43,7.86,Male,24,7.9
55,ROLL0055,REG20260055,UNI001,COL001,BCA,MCA,Cloud,Female,2000-11-18,26,OBC,Yes,UP,Indian,5-10L,Postgraduate,Business,No,Yes,None,74.04,ICSE,65.87,CBSE,Science,149,756,Management,1,2025-26,1,CS262,OS,Core,3,2.32,FAC017,60,35,97.85,Shortage,14,72,96.89,5,8,62.39,83.51,94.37,22,30,48,Stable,41,38,56,71,71.0,A,9.0,7.81,7.56,Fail,0,6.5,5.3,2.0,No,7,No,Low,Low,Low,8,Auditory,1,10,19,4.57,33,35,Online,3.49,6,9,4,4,No,55,ROLL0055,BCA,BCA,2025-26,CS425,96.55,30,41,7.81,Female,26,7.6
56,ROLL0056,REG20260056,UNI001,COL001,IT,B.Tech,Cloud,Male,2001-05-04,25,OBC,No,Haryana,Indian,10L+,Graduate,Service,No,Yes,Government,60.47,CBSE,75.53,CBSE,Commerce,193,4631,Entrance,1,2025-26,3,CS255,DBMS,Core,5,3.79,FAC001,41,47,85.35,Regular,18,101,79.93,0,9,77.64,78.46,87.77,26,33,88,Upward,54,40,60,87,87.0,C,8.94,9.16,8.07,Fail,0,3.3,6.8,4.5,Yes,23,No,High,High,Medium,10,Visual,10,2,22,3.47,31,86,Online,4.01,7,15,9,5,Yes,56,ROLL0056,CSE,B.Tech,2025-26,CS378,76.27,33,54,9.16,Female,25,2.2
57,ROLL0057,REG20260057,UNI001,COL001,MCA,MCA,Cyber Security,Male,2000-03-07,26,ST,No,Punjab,Indian,10L+,Postgraduate,Self-employed,Yes,Yes,Private,88.33,State Board,85.98,ICSE,Arts,135,3908,Merit,0,2025-26,6,CS337,OS,Elective,4,3.46,FAC006,44,51,93.02,Regular,20,52,79.81,1,6,82.41,78.28,92.05,24,28,45,Stable,53,21,48,81,81.0,B,8.71,9.01,9.45,Fail,0,5.4,6.9,2.3,No,31,Yes,Medium,High,Medium,3,Auditory,6,10,23,3.1,40,105,Online,3.39,8,19,8,0,Yes,57,ROLL0057,MCA,MCA,2025-26,CS453,65.16,28,53,9.01,Female,26,2.9
58,ROLL0058,REG20260058,UNI001,COL001,BCA,BCA,DS,Female,2003-06-28,23,OBC,No,Haryana,Indian,10L+,12th,Business,No,No,Private,92.22,ICSE,97.77,ICSE,Commerce,91,669,Merit,0,2025-26,5,CS324,OS,Core,4,4.15,FAC001,60,40,97.49,Regular,22,110,96.01,3,10,82.87,76.11,77.54,29,27,55,Upward,49,29,47,76,76.0,B,9.76,8.12,7.53,Pass,1,2.3,6.7,4.8,No,36,No,Low,Low,Medium,4,Auditory,1,2,18,4.04,46,112,Hybrid,4.49,10,8,3,1,Yes,58,ROLL0058,ECE,MCA,2025-26,CS259,77.33,27,49,8.12,Male,23,3.4
59,ROLL0059,REG20260059,UNI001,COL001,IT,MCA,Software Engg,Female,2005-02-09,21,OBC,No,Punjab,Indian,5-10L,Graduate,Service,Yes,Yes,Government,79.07,ICSE,78.16,CBSE,Arts,106,2324,Entrance,0,2025-26,4,CS109,OS,Core,4,2.81,FAC015,53,46,86.43,Shortage,8,63,74.74,4,16,63.58,89.5,78.41,16,40,44,Downward,46,39,44,86,86.0,B,8.83,9.02,9.48,Fail,0,5.2,6.2,4.2,Yes,10,Yes,Medium,Low,Low,4,Kinesthetic,8,6,10,3.32,55,82,Hybrid,3.8,8,18,10,4,No,59,ROLL0059,BCA,B.Tech,2025-26,CS432,65.31,40,46,9.02,Male,21,3.4
60,ROLL0060,REG20260060,UNI001,COL001,IT,B.Tech,Cloud,Female,2005-03-31,21,General,Yes,Bihar,Indian,10L+,Graduate,Business,Yes,No,Private,87.79,State Board,71.02,CBSE,Commerce,137,3536,Management,1,2025-26,1,CS412,Data Structures,Core,5,1.12,FAC013,48,48,85.97,Shortage,26,100,93.72,1,15,89.74,81.81,75.28,21,24,84,Stable,52,36,49,76,76.0,B,7.49,7.18,8.42,Fail,0,2.1,7.2,4.8,No,20,No,Medium,Low,High,1,Kinesthetic,10,6,7,3.4,59,117,Traditional,3.85,7,13,10,1,Yes,60,ROLL0060,BCA,MCA,2025-26,CS128,66.9,24,52,7.18,Male,21,4.0
61,ROLL0061,REG20260061,UNI001,COL001,BCA,BCA,DS,Male,2003-01-30,23,OBC,No,UP,Indian,2-5L,12th,Farmer,No,No,None,72.36,CBSE,60.68,ICSE,Commerce,101,3726,Entrance,2,2025-26,2,CS219,OS,Core,4,1.08,FAC002,51,58,78.6,Shortage,8,99,99.33,5,1,70.63,66.99,91.43,26,24,49,Stable,58,28,58,82,82.0,D,6.11,8.76,8.07,Fail,0,5.2,6.5,4.5,Yes,15,No,Medium,Medium,High,6,Auditory,5,4,20,4.63,60,111,Hybrid,3.02,8,7,6,2,No,61,ROLL0061,ECE,BCA,2025-26,CS177,63.26,24,58,8.76,Male,23,2.6
62,ROLL0062,REG20260062,UNI001,COL001,MCA,MCA,Cloud,Female,2001-12-30,25,OBC,Yes,Delhi,Indian,0-2L,Postgraduate,Business,No,No,Government,72.31,ICSE,62.88,State Board,Science,57,1149,Merit,1,2025-26,1,CS322,DBMS,Elective,4,4.62,FAC009,51,37,95.45,Shortage,15,33,82.4,4,7,94.45,88.87,84.73,25,32,98,Downward,41,27,41,73,73.0,C,9.62,8.83,8.14,Pass,0,5.3,6.5,4.2,No,45,No,Medium,Low,Medium,10,Visual,6,10,9,4.42,45,114,Online,4.5,7,11,8,2,Yes,62,ROLL0062,MCA,B.Tech,2025-26,CS181,73.34,32,41,8.83,Female,25,7.0
63,ROLL0063,REG20260063,UNI001,COL001,BCA,BCA,AI,Female,2004-01-29,22,General,Yes,Punjab,Indian,2-5L,10th,Business,No,Yes,Private,89.84,CBSE,91.7,CBSE,Arts,72,3502,Entrance,1,2025-26,2,CS247,Data Structures,Elective,5,3.94,FAC011,58,48,81.44,Regular,28,117,87.51,0,6,83.28,53.98,68.5,22,35,37,Upward,55,23,47,90,90.0,C,9.35,8.97,6.63,Fail,2,3.5,6.1,2.8,Yes,26,No,Medium,Medium,Medium,3,Visual,2,6,11,3.19,23,44,Traditional,3.28,10,5,9,4,Yes,63,ROLL0063,ECE,BCA,2025-26,CS198,90.6,35,55,8.97,Male,22,7.4
64,ROLL0064,REG20260064,UNI001,COL001,ECE,MCA,AI,Male,2004-09-05,22,General,No,Punjab,Indian,10L+,10th,Service,No,Yes,Government,94.92,ICSE,95.12,CBSE,Science,122,443,Entrance,0,2025-26,3,CS154,Data Structures,Elective,5,2.67,FAC006,54,36,62.66,Shortage,10,78,80.81,3,17,60.36,66.38,79.47,20,25,6,Downward,53,27,44,78,78.0,A,7.45,8.46,8.35,Fail,0,4.6,5.7,4.2,Yes,46,Yes,Low,Medium,Medium,10,Auditory,9,10,18,4.72,55,60,Traditional,3.45,6,6,4,4,Yes,64,ROLL0064,ECE,BCA,2025-26,CS376,62.06,25,53,8.46,Male,22,2.6
65,ROLL0065,REG20260065,UNI001,COL001,MCA,BCA,Cloud,Female,2001-05-12,25,OBC,No,Punjab,Indian,10L+,Postgraduate,Business,No,No,Government,93.25,State Board,68.46,ICSE,Arts,74,4964,Management,2,2025-26,1,CS317,Python,Core,5,1.94,FAC004,43,56,84.45,Shortage,7,108,89.86,4,18,94.69,88.47,54.38,17,20,24,Upward,56,23,40,76,76.0,A,8.73,8.49,9.07,Fail,2,7.2,6.9,4.6,No,52,No,Medium,Low,High,6,Visual,2,1,12,4.57,25,48,Hybrid,3.85,3,18,0,1,Yes,65,ROLL0065,MCA,MCA,2025-26,CS104,76.07,20,56,8.49,Female,25,2.5
66,ROLL0066,REG20260066,UNI001,COL001,IT,B.Tech,Cyber Security,Female,2000-05-01,26,OBC,No,Punjab,Indian,2-5L,Postgraduate,Farmer,Yes,Yes,Government,94.46,ICSE,68.2,State Board,Commerce,154,1149,Entrance,0,2025-26,3,CS406,Data Structures,Core,4,1.18,FAC004,51,46,65.02,Shortage,28,107,95.37,3,5,62.86,50.23,60.25,15,36,14,Upward,43,40,44,79,79.0,C,6.47,7.3,7.04,Pass,1,5.6,6.7,2.4,No,40,Yes,Low,Low,Medium,10,Visual,8,8,23,3.44,24,120,Hybrid,3.58,3,10,2,0,Yes,66,ROLL0066,ECE,BCA,2025-26,CS404,64.83,36,43,7.3,Female,26,2.4
67,ROLL0067,REG20260067,UNI001,COL001,IT,B.Tech,DS,Male,2004-06-27,22,ST,Yes,Haryana,Indian,2-5L,10th,Service,No,No,None,78.21,CBSE,69.12,State Board,Arts,140,4034,Entrance,1,2025-26,3,CS183,DBMS,Core,2,1.5,FAC012,49,33,99.49,Regular,26,73,83.69,4,10,63.27,53.35,91.1,15,32,29,Downward,43,36,56,75,75.0,B,9.48,7.62,6.39,Fail,0,7.2,5.4,5.3,Yes,20,No,High,High,High,9,Kinesthetic,5,8,18,3.9,52,86,Traditional,4.04,9,17,6,2,No,67,ROLL0067,BCA,BCA,2025-26,CS428,83.97,32,43,7.62,Female,22,3.7
68,ROLL0068,REG20260068,UNI001,COL001,CSE,BCA,Cyber Security,Male,2003-10-29,23,General,No,Haryana,Indian,2-5L,Postgraduate,Farmer,No,No,Government,67.24,ICSE,68.86,ICSE,Science,130,4410,Management,2,2025-26,1,CS489,ML,Core,4,1.06,FAC006,46,41,90.68,Shortage,26,26,73.6,1,17,80.17,82.91,77.61,23,23,28,Downward,45,39,54,68,68.0,D,7.36,9.21,8.77,Fail,2,7.1,5.4,4.3,Yes,16,Yes,Low,Low,Low,1,Kinesthetic,3,3,21,3.27,51,31,Hybrid,3.47,8,5,0,2,No,68,ROLL0068,IT,BCA,2025-26,CS351,62.28,23,45,9.21,Male,23,5.8
69,ROLL0069,REG20260069,UNI001,COL001,MCA,BCA,DS,Male,2005-01-03,21,ST,Yes,Haryana,Indian,2-5L,12th,Service,No,Yes,None,84.53,CBSE,71.02,State Board,Science,102,1239,Management,0,2025-26,4,CS250,Data Structures,Core,2,1.11,FAC007,48,40,75.94,Regular,30,72,76.29,1,13,71.9,83.26,84.07,15,29,72,Downward,42,30,59,71,71.0,C,9.46,7.16,8.45,Pass,2,4.3,7.0,5.7,Yes,21,No,High,High,Medium,2,Kinesthetic,4,10,7,4.38,26,37,Traditional,3.93,9,11,10,5,Yes,69,ROLL0069,ECE,BCA,2025-26,CS304,90.9,29,42,7.16,Male,21,3.7
70,ROLL0070,REG20260070,UNI001,COL001,CSE,BCA,Cloud,Female,2002-07-15,24,ST,No,Haryana,Indian,10L+,12th,Self-employed,Yes,No,Private,97.29,CBSE,68.31,State Board,Science,98,2976,Merit,2,2025-26,4,CS370,OS,Core,5,4.19,FAC009,59,38,87.29,Shortage,9,105,86.46,1,19,83.52,61.98,58.0,25,33,9,Stable,44,24,46,77,77.0,B,8.45,8.64,9.22,Fail,2,5.7,7.1,5.9,Yes,49,No,High,High,High,9,Auditory,8,3,10,4.77,22,72,Hybrid,4.2,2,12,9,2,No,70,ROLL0070,CSE,BCA,2025-26,CS433,77.46,33,44,8.64,Female,24,8.0
71,ROLL0071,REG20260071,UNI001,COL001,ECE,MCA,Software Engg,Male,2002-08-15,24,General,No,Punjab,Indian,2-5L,12th,Self-employed,Yes,Yes,Government,82.76,ICSE,97.07,ICSE,Arts,174,2121,Entrance,0,2025-26,4,CS224,Python,Elective,2,1.71,FAC007,42,48,91.2,Shortage,18,46,74.76,4,9,72.23,67.4,73.31,15,30,99,Downward,54,37,41,84,84.0,B,8.49,8.61,8.89,Pass,3,4.9,7.9,4.1,No,6,Yes,High,High,High,3,Visual,10,8,15,3.3,59,42,Online,4.64,10,11,9,5,No,71,ROLL0071,CSE,BCA,2025-26,CS242,99.57,30,54,8.61,Male,24,4.3
72,ROLL0072,REG20260072,UNI001,COL001,IT,B.Tech,Software Engg,Male,2002-10-23,24,OBC,No,Bihar,Indian,5-10L,Postgraduate,Farmer,No,Yes,None,97.11,CBSE,64.87,CBSE,Arts,153,438,Management,0,2025-26,3,CS463,OS,Core,5,4.3,FAC018,48,36,96.12,Regular,15,85,77.18,4,1,68.63,66.01,55.94,26,39,22,Stable,51,24,49,90,90.0,A,7.12,9.07,7.36,Pass,2,4.3,7.5,3.9,Yes,22,No,Medium,Low,High,8,Visual,3,8,17,4.06,46,100,Online,3.67,3,15,1,3,Yes,72,ROLL0072,ECE,BCA,2025-26,CS481,75.99,39,51,9.07,Female,24,5.4
73,ROLL0073,REG20260073,UNI001,COL001,CSE,B.Tech,DS,Male,2002-10-02,24,OBC,No,Bihar,Indian,0-2L,Graduate,Farmer,Yes,No,Government,86.69,ICSE,93.45,CBSE,Science,132,633,Entrance,1,2025-26,3,CS351,Python,Elective,5,2.32,FAC010,54,37,69.93,Regular,7,91,88.1,0,16,88.14,65.67,80.5,20,38,16,Stable,47,36,60,85,85.0,B,6.42,6.46,9.41,Fail,2,5.5,7.5,4.8,No,20,Yes,Low,Low,Medium,7,Auditory,3,10,19,4.63,39,109,Traditional,4.67,5,8,9,3,No,73,ROLL0073,IT,B.Tech,2025-26,CS144,81.28,38,47,6.46,Female,24,5.2
74,ROLL0074,REG20260074,UNI001,COL001,ECE,B.Tech,DS,Female,2002-11-08,24,SC,Yes,Delhi,Indian,10L+,12th,Business,No,Yes,Private,66.18,State Board,61.29,CBSE,Commerce,115,4321,Management,1,2025-26,1,CS147,Python,Elective,3,1.32,FAC018,55,49,88.74,Shortage,5,51,70.9,4,6,90.99,88.15,52.37,25,31,29,Stable,54,31,46,85,85.0,C,6.76,8.86,7.01,Fail,2,7.2,7.8,2.1,Yes,48,No,Medium,High,Low,6,Visual,3,10,23,3.61,60,33,Hybrid,3.35,1,19,3,1,Yes,74,ROLL0074,CSE,BCA,2025-26,CS387,73.96,31,54,8.86,Female,24,2.2
